name,organization,description_short,category,website,status,goal,proportionality,lawful_basis,standard_version,url,contact_email,lang,publiccode,source_data,methods_and_models,human_intervention,risks,provider,process_index_url,tags,source_id,begin_date,end_date,impacttoetsen,publication_category,lawful_basis_grouping,impacttoetsen_grouping,source_data_grouping,algorithm_id
Enforcement of Illegal Subletting,Municipality of Amsterdam,"In 2020, the Municipality started developing a model that can use data to support the detection of illegal subletting of social housing. ",Living,,Out of use,"In 2020, the Municipality started developing a model that can use data to support the detection of illegal subletting of social housing. For the model, domain experts have compiled indicators that may be related to illegal subletting of social rented housing. These indicators were carefully compiled and checked for possible bias and discrimination, among others. Based on data, the model automatically checks which of these indicators are present at an address. These possible indicators are shown as points of interest for supervisors. Supervisors retain their own autonomy and decide for themselves whether to investigate an address further. No enforcement will ever follow directly from the model. Indeed, enforcement can only take place if an enforceable situation has been found on the spot. Due to various circumstances, the development of this model has been on hold for quite some time. It is therefore not yet deployed and data has only been processed in a test phase. No decisions have yet been made or activities undertaken based on this model. The moment the model does start being deployed, a broadly defined process will be in place in the registry. ","The model automatically checks from data which of these indicators are present at an address. These possible indicators are shown as points of interest for supervisors. Supervisors retain their own autonomy and decide for themselves whether to investigate an address further. No enforcement will ever follow directly from the model. In fact, enforcement can only take place if an enforceable situation is found on the spot.",,1.0,,Algoritmen@amsterdam.nl,nld,,N/A,,N/A,N/A,,,"Illegal, Enforcement, Subletting, Social Rent",,,,,Impactful algorithms,,,,95665519
Research predict lead pipes,Municipality of Amsterdam,"This algorithm has a low impact.This is a research project to investigate whether it is possible to predict lead pipes in a home. Lead in drinking water is harmful to health, especially for children and pregnant women.","Living, Space and Infrastructure, Health and Healthcare",,In use,"This is a research project to investigate whether it is possible to predict lead pipes in a home. Lead in drinking water is harmful to health, especially for children and pregnant women. Lead water pipes can occur in properties built before 1960. Using data from housing associations on which homes have lead found in them, we want to investigate whether we can predict in which homes in the private sector there is an increased risk of finding lead.  The only personal data used during this project will be addresses. The first phase is an investigation to see if it is at all possible to predict lead pipes from data. In case the first phase shows that this is possible, in the second phase we would like to write to the addresses where an increased risk of lead is predicted by means of a letter. In this letter, we would issue a warning about the possible presence of lead with the advice to carry out an inspection for lead. ","Lead in drinking water is harmful to health, especially for children and pregnant women.",,1.0,,Algoritmen@amsterdam.nl,nld,,The only personal data used during this project are addresses.,,N/A,N/A,,,"Lead, Pipes, Research",,,,,Other algorithms,,,,63555572
Valuing WOZ properties Amsterdam,Municipality of Amsterdam,"Every year, the Amsterdam municipality determines the WOZ value of all real estate and uses a statistical calculation model to do so.","Economy, Living",,In use,"Every year, the City of Amsterdam determines the WOZ value of all real estate and uses a statistical calculation model to do so. Our Amsterdam appraisers use this model when appraising, they maintain it and check it. This method of valuation is called 'model-based valuation'. We then use the WOZ value to determine the amount of some municipal taxes, such as property tax (OZB). The National Tax Office uses the WOZ value for its national taxes. The Valuation Chamber is the national regulator. They supervise the way we value. ","
The WOZ Accountability Document tells you how we determine the WOZ values for the current tax year. The document answers the following questions.

What does the process of determining a WOZ value look like?
Which data affect the WOZ value?
What is model-based valuation?
How do we verify?

In this description of the algorithm, we refer to the WOZ Accountability Document, as all information on model-based valuation and the calculation model can be found there.
The WOZ Accountability Document can be found here: 
www.amsterdam.nl/wozverantwoording 
",,1.0,,algoritmen@amsterdam.nl,nld,,"WOZ accountability documentThe combination of a WOZ value and an address is personal data. We do not process any further personal data in the calculation model. We may process this personal data because of our statutory duty to value WOZ properties. This algorithm is part of a supplier's application.
In this description of the algorithm, we refer to the WOZ Accountability Document, as all information on the model-based valuation and the calculation model can be found there.
The WOZ Accountability Document can be found here: 
www.amsterdam.nl/wozverantwoording",,"
In this description of the algorithm, we refer to the WOZ Accountability Document, as all information on model-based valuation and the calculation model can be found there.
The WOZ Accountability Document can be found here: 
www.amsterdam.nl/wozverantwoording
","In this description of the algorithm, we refer to the WOZ Accountability Document, as all information on model-based valuation and the calculation model can be found there. The WOZ Accountability Document can be found here:
 
www.amsterdam.nl/wozverantwoording",,,"WOZ, Real estate, valuation, WOZ Value",,,,,Impactful algorithms,,,,58766226
Octobox Anonymisation,Zuiderzeeland Water Board,The algorithm in the software recognises and anonymises personal data and other sensitive information in documents. Governments regularly publish information related to the drafting and implementation of their policies (e.g. based on the Woo). This tool is used to render sensitive data unrecognisable in the process.,Organisation and business operations,,In use,"The anonymisation tool is used to ensure transparency while protecting individuals, companies and institutions.The tool allows organisations to share information according to regulations such as the Woo, both actively and passively. This helps protect personal data of data subjects. The same goes for protecting privacy data of the organisation's own employees.Applicants of a Woo request will receive the requested information, anonymised or partially masked according to other regulations. For the departments responsible for handling Woo requests, the tool makes complying with laws and regulations easier and shortens turnaround time so that information can be offered within the legal deadlines.The risk impact of the algorithm is low for individuals and organisations. The algorithm searches for (personal) data and flags or masks it, without making automatic decisions. A task expert evaluates the proposals for anonymisation. The tool also offers the option to manually mask information that cannot be disclosed, such as strategic information to protect the organisation or partners. The basis for anonymising or masking is provided by the tool.","Sometimes certain excerpts of text in documents made public cannot be shared with the public. The Woo provides bases for this, such as the General Data Protection Regulation (AVG). Without tools, anonymising texts would be time-consuming and increase the risk of errors, which could lead to unwanted publication of sensitive data. Using an anonymisation tool speeds up and simplifies this process for both active and passive disclosure. Automated anonymisation is less error-prone than manual work. This reduces the risk of data leaks and better protects individuals' data.",General data protection regulation (AVG)Environment ActGeneral Administrative Law Act (AWB)Disclosure ActOpen Government Act (WOO)Electronic Publications Act (WEP),1.0,,waterschap@zuiderzeeland.nl,nld,,"Before commissioning, a setup document was prepared by the organisation and the supplier. This sets out the organisation's preferences for anonymisation. These preferences are combined with Octobox's Basic Model, which by default searches for data such as Citizen Service Numbers, bank account numbers, phone numbers, e-mail addresses, dates, residential addresses and postal codes.The organisation can choose not to anonymise certain names, such as those of ministers or directors, while other names are anonymised. Names of employees who are not in the Basic Model can be added in advance. The organisation can also specify how e-mail addresses are to be made unrecognisable.","The software searches documents based on smart rules and recognises personal data such as Citizen Service Numbers, bank account numbers, phone numbers, e-mail addresses, dates, residential addresses and postal codes.The software can be set to the degree of certainty with which data is recognised. Employees can see on the screen which text fragments should definitely be varnished and which are less certain. They can approve or reject the proposals and mark text for 'varnishing' (making it unrecognisable) themselves, including adding a basis for doing so.A second staff member can check the work of the first. Once all documents have been reviewed, the final version is made in a format suitable for publication.",Human intervention is always a requirement when using the software. This means that control is always carried out by co-workers. The organisation has prepared a setup document. This allows the organisation to adapt the use of algorithms to their specific situation. A subject matter expert evaluates proposals for anonymising texts. No automatic decisions are made.The algorithm searches for (personal) data and marks them. The subject specialist checks and corrects the proposals. This work can possibly be checked by a second person within the tool. This fulfils the requirement of 'human intervention'.,"To avoid documents not being properly anonymised, a human check always takes place. The software is intuitive to use for checking, changes or additions. Without human verification, risks may arise, such as disclosure of privacy-sensitive data. The combination of the tool and human verification helps prevent this.Violation of privacy laws:Inadvertent disclosure of personal data may violate privacy laws, such as the EU's AVG. This can lead to significant fines and legal penalties.Identity theft:Disclosing personally identifiable information (PII) such as names, addresses and social security numbers can lead to identity theft and financial fraud.Damage to reputation:Both the reputation of the individuals whose information has been leaked and that of the organisation responsible for the leak can be seriously damaged.Loss of trust:The confidence of the public and affected stakeholders in the organisation may decrease, leading to a decline in engagement and support.Personal damage:Individuals may suffer emotional and psychological damage if their personal data, such as medical or financial information, is made public.Exploitation and abuse:Disclosed data can be used for malicious purposes, such as strike, harassment or discrimination.Human monitoring helps to mitigate these risks by providing an extra layer of assessment and confirmation. A check is then made that anonymisation processes have been properly carried out before information is made public.",Octobox Netherlands B.V.,,,,04-2023,,,Other algorithms,"1: Algemene verordening gegevensbescherming (AVG), https://wetten.overheid.nl/BWBR0040940. 2: Omgevingswet, https://wetten.overheid.nl/BWBR0037885. 3: Algemene Wet Bestuursrecht (AWB), https://wetten.overheid.nl/BWBR0005537. 4: Bekendmakingswet, https://wetten.overheid.nl/BWBR0004287. 5: Wet Open Overheid (WOO), https://wetten.overheid.nl/BWBR0045754. 6: Wet Elektronische Publicaties (WEP), https://wetten.overheid.nl/BWBR0043961",1: Data Protection Impact Assessment (DPIA),,31493172
Woo chatbot,Municipality of Coevorden,"Users can ask questions in a chatbot, about published Woo requests from Coevorden municipality. The chatbot bases answers and summaries only on documents published by the municipality.",Organisation and business operations,https://www.coevorden.nl,In use,"The aim is to gain experience in using AI and ChatGPT in a low-threshold and responsible way. This is initially launched as a pilot within the municipality. By May 2024, the pilot will be completed and the chatbot will be used indefinitely on the municipal website.","The published documents are anonymised documents intended for public disclosure. By using these documents to use CustomGPT, the risk is very low.",Woo,1.0,https://www.coevorden.nl/publicaties-wet-open-overheid,privacy@coevorden.nl,nld,,,"The user asks questions to the Chatbot (CustomGPT). These queries are presented to OpenAI via CustomGPT, via the OpenAI Public ChatGPT Instance. This means that questions from users reach OpenAI and CustomGPT. OpenAI has committed not to use data passed as context for training its models, which has improved the privacy of the queries asked.",The answers given in the chatbot are checked weekly by an employee of the municipality.,"CustomGPT is used. CustomGPT indexes the data made available by the municipality of Coevorden. The published documents are anonymised documents intended for public access. By using these documents to use CustomGPT, the risk is very low",,,,,11-2023,,,Other algorithms,,,,11926740
Anonymise,Municipality of Woudenberg,"The algorithm underlines personal data in documents. An employee has to review all the pages and check whether the document is properly anonymised. Then the software removes all highlighted information and blacklists it. After that, the documents can be published, for example under the Open Government Act (WOO).",,www.woudenberg.nl,In use,"The anonymisation software is used to anonymise documents published by the municipality faster and better. This way, we prevent data leaks and contribute to better protection of data subjects' AVG rights.","The municipality increasingly has to disclose information. Therefore, privacy- or business-sensitive information must at least be varnished away. Before the algorithm was deployed, this deleting did not always go well. There were data breaches where not all personal data was deleted or where deleted information could still be read. The advantage of anonymisation software is that anonymisation is faster and better. The disadvantage is that the text layer of the document is analysed by a Microsoft Azure server. The content is not stored on this server, so the privacy risk of using the algorithm does not outweigh the privacy benefit of reducing the number of data breaches due to improper anonymisation.",1. WOO 2. WCO 3. UAVG 4. WEP 5. WDO,1.0,,info@woudenberg.nl,nld,,"All information found in the uploaded documents (except metadata) is processed by the algorithm. This may include ordinary personal data, special personal data and criminal data. It may also include business-sensitive information.","Documents are uploaded to the application by an employee. At that point, a copy is made of the original in the form of a PDF with text layer and the metadata of the original document is removed from the copy. This copy ends up on a Dutch server and remains there for a maximum of 30 days. The text layer of the PDF is offered to the machine learning algorithm through an API. This is a Natural Language Processing algorithm (named entity recognition) from Microsoft Azure. The API returns at which location in the analysed texts a personal data is likely to occur, along with the probability score (a percentage). At that point, Azure immediately removes the text layer. The probability score is used along with vendor-developed proprietary ai models to make the recognition of personal data as accurate as possible. The models are trained using, among others, the following trained datasets as CoNLL-2003, UD Dutch LassySmall v2.8, Dutch NER Annotations for UD LassySmall and UD Dutch Alpino v2.8. Minimum key figures for the accuracy of identifying personal data are as follows: Named entities (precision): 0.78, Named entities (recall): 0.76, Named entities (F-score): 0.77. Finally, a staff member checks the document and when it completes the document, the data to be anonymised is permanently removed from the text layer and a black bar is placed.",The outcome of the algorithm is checked by an employee. Who checks all the pages. The clerk determines whether the document is correctly anonymised.,"There is no risk of automated decision-making and the algorithm has no impact on fundamental rights because the algorithm does not make decisions with legal consequences. It only suggests anonymising personal data. The algorithm is also used by the developer himself, so errors are quickly found. In addition, the algorithm is trained periodically. At the request of our organisation, our documents are not used to train the algorithm. If the algorithm does not work well enough, we can make adjustments with black- and whitelists.The municipality's employee always does the final check whether a document is correctly anonymised. There is a risk that employees do not check properly; we mitigate this by paying attention to the importance of carefully checking the personal data found by the algorithm. The last remaining risk is the privacy risk of using Azure. Because Microsoft may be required to hand over data it processes to US authorities because of the Patriot Act. To mitigate these risks, the vendor has implemented privacy by default. Text sent by the API in synchronous or asynchronous calls to the Azure service may be temporarily stored by Azure for debugging. But the vendor has disabled this option. This limits the risk. Immediately after being processed by Azure, the data and data processing is deleted. Furthermore, the supplier is ISO 27001 certified. The risks do not outweigh the privacy benefits and the risk of poor anonymisation by not using this software.",Xxllnc,,,,08-2023,,,Other algorithms,"1: Woo, https://wetten.overheid.nl/BWBR0045754/. 2: WDO, https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:31995L0046. 3: UAVG, https://wetten.overheid.nl/BWBR0040940. 4: Wep, https://wetten.overheid.nl/BWBR0043961. 5: Wdo, https://wetten.overheid.nl/BWBR0048156",,,38881972
Meeting the energy saving obligation,Netherlands Enterprise Agency,"In the reporting of the digital reporting form of the energy saving information obligation, companies fill in the EML for each location. The digital counter determines whether the energy saving obligation is met based on the answers . This is done by generating a classification code .",Nature and Environment,Landingspagina: www.rvo.nl/energiebesparingsplicht . De specifieke pagina over de rubriceringscode: https://www.rvo.nl/onderwerpen/toelichting-rubriceringscode-informatieplicht .,In use,"Companies, social institutions, and a few private individuals, report four-yearly on the energy saving obligation. This per location with energy consumption from 50,000 kWh electricity or 25,000 m3 natural gas equivalent. The energy savings obligation obliges these parties to implement energy-saving measures. The energy saving information obligation obliges these parties to report on this. Reporting must be done in a central, national digital counter. This desk is managed by the Rijksdienst voor Ondernemend Nederland (RVO). Formally, reports are submitted to the local competent authority (municipalities, provinces). Via the basic task package, supervision and enforcement of these duties are the responsibility of the environmental services. The reported data are therefore made available to the competent authority and the environment services without delay. The aforementioned single private individual is then the owner of a building that he rents out to a company or social institution. Then an information and energy-saving obligation applies to building measures. This concerns about 200 sites reported by a private individual out of a total of about 50,000 sites currently reported.The information obligation is attached to the energy savings obligation in 2019 to enable information-driven supervision. Information-driven supervision means that environment services will be the first to inspect businesses that are least compliant with the energy savings obligation.A company or social institutions meets the energy saving obligation by implementing all applicable measures from the Approved Measures List for Energy Saving (EML). A company ticks off in the digital counter which measures have or have not yet been implemented, and which are not applicable. Based on these answers, a classification code is generated. This code indicates the degree of compliance with the energy saving obligation. This code is included in the reports that are made available to the competent authority and the environmental services so that the environmental services can prioritise their activities on this basis.","There are no disadvantages of deploying the algorithm. Nor are there any ethical considerations at play. In fact, it is a summary of what the rapporteurs themselves have entered in the digital counter. The alternative is not to provide a classification code. Environmental services would then have to perform such a calculation themselves to determine which companies are first in line for supervision and enforcement. ","The information and energy-saving obligations are laid down in Sections 5.15, 5.15a and 5.15c of the Activities in the Living Environment Decree (Bal) and Sections 3.84 and 3.84a (Bbl) of the Building Works in the Living Environment Decree.Section 10.49b of the Environment Decree stipulates that submitted data must be brought within reach of the competent authority without delay.",1.0,,https://www.rvo.nl/onderwerpen/contact/formulier,nld,,The submitter can provide the following answers for each recognised measure:- Fully implemented- Partially implemented- Not yet implemented- Alternatively implemented- Not applicable (multiple reasons)These answers are used for the algorithm.,"The algorithm first determines whether there is a deviation from the EML system (R3) or whether the reporting is not covered by the duty due to too low energy use (R5).The algorithm then counts the number of applicable measures.It then considers whether any measures have not yet been implemented and how many. If so, the code R1 is generated, possibly with 1, 2 or 3 exclamation marks if more than 25%, 50% or 75% of the applicable measures have not been implemented.It then considers whether there are no measures that have not yet been implemented, but there are measures that have been partially implemented and how many. If so, the code R2 is generated with possibly 1, 2 or 3 exclamation marks if more than 25%, 50% or 75% of applicable measures have not been implemented.If there are no applicable measures yet to be (fully) implemented, code R4 is generated. The site then meets the energy saving obligation.An A is added to the code R4 if compliance is achieved by having implemented an alternative measure for at least one recognised measure.An E is added to the code R4 if the building meets the renovation standard https://www.rvo.nl/onderwerpen/renovatiestandaard .See also: https://www.rvo.nl/onderwerpen/toelichting-rubriceringscode-informatieplicht .","Based on the classification codes generated, omgevingsdiensten can prioritise their work. There is no feedback on the actual prioritisation of work by the environment departments.",There are no risks. Only a qualification is added to a report based on data provided by the submitter.,,,,,2019-07,,,Other algorithms,"1: Informatie- en energiebesparingsplicht, https://wetten.overheid.nl/BWBR0041330/2024-01-01/#Hoofdstuk5_Afdeling5.4_Paragraaf5.4.1_Artikel5.15. 2: Informatie- en energiebesparingsplicht, https://wetten.overheid.nl/BWBR0041297/2024-01-01/#Hoofdstuk3_Afdeling3.4_Paragraaf3.4.1_Artikel3.84. 3: Omgevingsbesluit, https://wetten.overheid.nl/jci1.3:c:BWBR0041278&hoofdstuk=10&afdeling=10.8&paragraaf=10.8.8&artikel=10.49b&z=2024-07-01&g=2024-07-01",,"1: Erkende maatregelenlijst energiebesparing, www.rvo.nl/eml",33212164
Dashboard evaluation camera surveillance,Municipality of Amsterdam,Data analysis for evaluating the need to apply camera surveillance at a specific location to maintain public order.,Public Order and Safety,Beleidsregel cameratoezicht ter handhaving van de openbare orde in Amsterdam | Lokale wet- en regelgeving (overheid.nl)   ,In use,"Camera surveillance can be instituted to maintain public order when necessary. Camera surveillance has several functions.- Camera surveillance increases the efficiency and effectiveness of action by police, municipal enforcement officers and emergency services. It helps police, enforcement and supervisors to get to the scene faster;- In addition, camera surveillance works preventively: it helps prevent public order problems and criminal offences. - Camera surveillance also has a repressive function: police and judicial authorities can use the camera images for investigation purposes;- Finally, camera surveillance makes citizens and entrepreneurs feel safer.Anyone entering a camera surveillance area must be clearly informed of this. This is done by placing signs and informing local residents and entrepreneurs in the area concerned. The decision in which the mayor announces the designation of a camera surveillance area is published.The recorded camera images are viewed live and/or stored. Live viewing is done only on the days and times when it is necessary, under the direction of the police. The police is the only authority that has free access to the servers where the images are stored. The municipality itself does not have access to the servers. The cameras are always on but the images are not always viewed live. ","Mayors can designate areas for public order enforcement where camera surveillance takes place for a certain period of time. Camera surveillance is used to make public spaces safer. Cameras monitor nightlife areas, shopping centres and areas of high nuisance or crime. Camera surveillance allows the municipality, together with the police, to act quickly when necessary. To evaluate the need for camera surveillance, data analysis provides input for policy considerations on whether or not to extend camera surveillance.We use only the necessary data. There is also evaluation with relevant partners and colleagues from the areas in addition to what can be seen on the dashboard.",,1.0,,algoritmen@amsterdam.nl,nld,,"Only the police have free access to the servers where the images are stored. The municipality itself does not have access to the servers.Observers make records of public order disturbances based on what they see on the camera images. This information is loaded into a dashboard and can be ordered by location and type of disturbance. This ordering is used in analyses for evaluating the need to extend camera surveillance at a specific location. For example: the police record public order disturbances such as drug dealing and overt violence. If that was the reason for setting up camera surveillance, it can be selected specifically for evaluation in the filters present in the dashboard. In addition, various other registrations and interventions (reports by citizens, registrations and possible impositions of enforcement) that the municipality receives are also visible. ","The registrations made by the police are visually represented in a dashboard by bar charts, timelines and map view with a point location where the registration is about. For example, by adding up these registrations by area and offence type. Users can select a camera surveillance area and view the number of registrations and interventions over time and select by type of registrations. Data type:Police registrations obv camera images, enforcement registrations, citizen reports. Data collected by Datawarehouse OOV (Municipality of Amsterdam).Architecture of the model:Police registrations are visually represented in a dashboard by bar charts, timelines and map view with a point location where the registration is about. For example, adding up these registrations by area and offence type. Users can select a camera surveillance area and view the number of registrations and interventions over time and select by type of registrations. ","The display of the recordings gives the policy officer different types of input to make a consideration on camera surveillance. This is part of a broader consideration, which can lead to different actions, such as: changing the camera's setting, removing the camera, placing additional camera in designated area, formulating viewing orders or adjusting viewing orders.","We use only necessary data, access to data analysis through a dashboard is limited to a small group of people, the substantive consideration of whether to renew or not is still human. So the dashboard is only a supportive and insightful tool.The registrations based on camera images concern situations, actions and behaviour. No personal characteristics are processed. The initial selection of camera surveillance areas is not based on information from this system.The cameras are always on, but the data are recorded at specific moments only. This can give a distorted picture of the issues. Incidents that are captured by a camera, but not looked out at that moment by the observer are not counted as registration. The data processed are derived from camera images. They are a human interpretation of the images. ",  ,,"Camera surveillance, dashboard, public order enforcement",,,,,Impactful algorithms,,,,58953176
iCitizenship e-services,Municipality of Gennep,"Residents and entrepreneurs of Dutch municipalities will have the opportunity to apply for some 16 civil affairs products digitally via the municipal website. In doing so, the system performs checks on personal data.",Organisation and business operations,,In use,"The purpose of the e-services with the underlying algorithm is to provide maximum support/ guidance to residents and entrepreneurs when submitting a digital application. As a result, this application can be submitted correctly and completely. The algorithm checks various data of the resident. If no additional data is required from the resident and no manual actions or checks by the municipality are required (such as signature, for example) to process the application, it can be processed without the intervention of a civic affairs officer. However, if additional data, checks or actions are required, the application/declaration always enters a work list. There, it is checked by a civil affairs employee. The algorithm can only automatically approve an application/declaration. Only the civil affairs officer can reject an application/declaration.The impact is that such an application can be dealt with efficiently by the municipality; after all, a resident/company has already carried out several steps (work), leaving the official more time for the special and/or complicated declarations/applications the municipality receives. In some cases, this application can even be processed fully automatically. The quality of service goes up because of these services, as does the quality of the data in the BRP.","Handling all applications through the counter is no longer an option for municipalities. This is due to numbers and time constraints. An algorithm offers residents and entrepreneurs guidance with (digital) applications. A municipality can choose to submit every digital application to the civil affairs officer for assessment before it is processed. For people who are not or less digitally literate, there is always the option of submitting the application via the municipal counter.","Law on basic registration of persons
Civil Status Act",1.0,,gemeente@gennep.nl,nld,,"Data used comes from the BRP, civil status registers, Chamber of Commerce, CRB (Central Driving Licence Register) and linked data.","Through the municipality's website, a resident or entrepreneur can start an e-service. Each application is already checked against the laws and regulations applicable to the application while it is being filled in. A fully completed digital application/declaration is placed on the work list in iBurgerzaken for assessment and processing by a civil affairs employee. When an application or declaration is opened on the worklist, it is visible to the civil affairs employee which check a notification has produced, for correct assessment and processing. For a number of digital applications, a municipality can choose whether iBurgerzaken, may process them automatically without the intervention of a civic affairs employee. iBurgerzaken processes an application fully automatically if no check results in a warning. In addition, the municipality can also choose in which situations the application always appears on the work list for assessment and processing. For example, in Relocation within the Netherlands: if there is overcrowding at the new address.","The algorithm assumes a positive scenario. As a result, only simple declarations and applications are processed automatically. If one or more peculiarities occur, the application/declaration is always assessed by a civil affairs employee. The civil affairs employee then checks it himself; process or reject it. In case of rejection, it is always the civil affairs employee who does this and never the algorithm.",It is up to municipalities to shape risk management and configure e-services accordingly.,PinkRoccade Local Government,,,,2022-12,,,Impactful algorithms,"1: Wet basisregistratie personen, https://wetten.overheid.nl/BWBR0033715. 2: Wet rechten burgerlijke stand, https://wetten.overheid.nl/BWBR0001851",,"1: BRP, https://www.rvig.nl/basisregistratie-personen. 2: LV BAG, https://www.kadaster.nl/zakelijk/registraties/basisregistraties/bag. 3: CRB, https://www.rdw.nl/",59792677
Virtual assistant Gem,Municipality of Utrecht,"The virtual assistant Gem is a digital help on the Utrecht municipality's website for answering resident and business questions. Via the chat widget on the website, you can talk to Gem",Organisation and business operations,,In use,"Understanding the resident's question as well as possible and helping them get the right answer. This could be a substantive or procedural answer, but also a referral or transfer to a (livechat) employee. The virtual assistant is only deployed to provide answers based on nationally determined answers to resident and entrepreneur questions or referral to an employee.","The answers that GEM can provide are in a national library. Municipal employees can modify answers to fit local situations. GEM has no role in decisions, it advises residents. GEM's input is needed to recognise the resident's or entrepreneur's question and, based on that, to estimate the likelihood of the appropriate answer. Or to make the assessment that it is better to speak to a (livechat) employee. Thanks to the algorithm, the virtual assistant is able to provide reliable government information to residents and entrepreneurs 24/7.",Providing reliable government information on products and services of the municipality of Utrecht.,1.0,,algoritmeregister@utrecht.nl,nld,https://gitlab.com/virtuele-gemeente-assistent/gem,"National library of frequently asked existing questions and answers regarding public services, plus anonymised chat conversations between residents and GEM in Utrecht. The virtual assistant is constantly trained to recognise the resident's question. These so-called 'intents' are continuously updated, also based on non-expected input from residents. This allows the algorithm to better estimate what the resident means and which determined answer goes with it.","The municipality offers digital help to residents and entrepreneurs with a question. This digital help is called 'virtual assistant GEM'. Via the chat button on our websites, you can talk to GEM. The virtual assistant uses artificial intelligence, also known as artificial intelligence (AI). AI helps GEM to better understand the resident and provide the right information. Specifically, GEM uses supervised machine learning, which calculates which answer from the answer library provides the best answer to the question based on the question. Once a question cannot be answered sufficiently well, the conversation is continued by an employee. At the end of the conversation, the user can indicate whether the answer helped. The next time a person asks a similar question, the answer that helped the most is more likely to be chosen. GEM can thus provide substantive answers to questions based on this library, as well as refer to an information page or have a staff member continue the conversation. The answers that GEM can provide are recorded nationwide. This costs less management and radiates more unity between municipalities.",The answers provided by Gem are in a national library. Municipality staff can modify answers to fit situations of the respective municipality. ,"The Utrecht data scientists, Information and Process Advisors (IPA) and Decentralised Information Security Officers (DISO) within the Utrecht municipality have, in addition to the employees directly involved, a controlling and monitoring role in the application of the algorithm. By doing so, we want to prevent the following risks from occurring:- data leak due to the public availability of personal data of Utrecht residents- algorithm takes a decision completely independently, without the intervention of an employee and without the interpretation of the relevant context of the situation- 'function creep' regarding data during the application of the algorithm, as a result of which the algorithm gives a distorted picture of what is going on. This can occur because the same type of data is used when applying the algorithm, and the algorithm uses that as confirmation of what comes out as information",,,,,202102,,,Impactful algorithms,,"1: Data Protection Impact Assessment (DPIA), Utrechts Uthiek Assessment",,64773823
Licensing Housing,Municipality of Utrecht,Being able to better carry out the process of issuing permits for splitting houses prevents unlawful and undesirable housing situations in Utrecht,Living,,Out of use,The lawful granting of permits to split dwellings,"Results Uthiek Assessment: approach to licensing regarding splitting of dwelling allows us to perform our legal duty properly and this contributes to value Power Relations. This only gives us a signal and the action perspective for the enforcers to explore the situation at the property in question. By doing so, we provide enforcers with targeted information for enforcement, and increase their freedom of choice and contribute to the value Autonomy. A better approach to granting permits for splitting houses contributes to safer and healthier conditions for residents of these houses. In this way, we contribute to the value Safety and Health. In addition, we know from practice that financially vulnerable residents are often victims of property abuse situations. With this approach, we protect this target group and contribute to the value Justice.",,1.0,,algoritmeregister@utrecht.nl,nld,,"- name and address of the property- property characteristics (dimensions, rooms, splits)",,"The algorithm (with a direct impact on Utrecht residents and their living environment) only serves as a source of information for an employee, who takes the appropriate next step based on this information and the context of the situation. This principle is included in our Utrecht framework Internal Guidelines for Algorithm Application.","The Utrecht data scientists, Information and Process Advisors (IPA) and Decentralised Information Security Officers (DISO) within the Utrecht municipality have, in addition to the employees directly involved, a controlling and monitoring role in the application of the algorithm. By doing so, we want to prevent the following risks from occurring:- data leak due to the public availability of personal data of Utrecht residents- algorithm takes a decision completely independently, without the intervention of an employee and without the interpretation of the relevant context of the situation- 'function creep' regarding data during the application of the algorithm, as a result of which the algorithm gives a distorted picture of what is going on. This can occur because the same type of data is used when applying the algorithm, and the algorithm uses that as confirmation of what comes out as information",,,,,,202107,,Impactful algorithms,,1: Data Protection Impact Assessment (DPIA). 2: Utrechts Uthiek Assessment,,18113668
