name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
Mai (Montferland AI),2,"The goal is specific and contextualized, stating that the aim of Mai is to provide citizens with faster, 24/7 answers to their general questions, relieving staff on livechat and improving service delivery.",2,"The logic is clearly explained, detailing the use of a retrieval-augmented generation (RAG) system, the platform, vector database, and language model used, and how these components enable Mai to generate accurate and context-relevant answers.",1,"While the entry mentions measures taken to manage risks, it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Mass corrected income tax return (MC),2,"The goal is specific and contextualized, outlining the process of mass correction of income tax returns, the selection of eligible citizens, and the options available to those who disagree with the final assessment.",2,"The logic is clearly explained, detailing the use of selection rules created by content experts to assess whether an income tax return qualifies for correction and final determination, and noting that the algorithm is not self-learning.",2,"The limitations are explicitly described, outlining the measures taken to manage the risks of using the algorithm, including transparency, automated decision-making, privacy protection and legality, responsibility, and monitoring and evaluation."
Target group definition shortened income tax return (VKA),2,"The goal is specific and contextualized, aiming to simplify tax returns for citizens with simple tax situations and reduce errors by offering a condensed income tax return (VKA) based on objective tax characteristics.",1,"The algorithm's process is partially explained as being based on selection rules created by content experts and not being self-learning, but it lacks a clear explanation of inputs and the specific model type.",2,"The risks and limitations are explicitly described, including transparency, automated decision-making, privacy protection and legality, responsibility, and monitoring and evaluation."
Gift Tax Algorithm,2,"The goal is specific and contextualized, stating that the algorithm is used to support tax administration staff in assessing gift tax returns and identifying which parts of a return require attention.",1,"The methods and models field mentions that the algorithm consists of selection rules created by content experts based on laws, regulations, and expertise, but it does not provide a full process description or specify the inputs used.",2,"The risks field explicitly describes several measures taken to manage the risks of using the algorithm, including transparency, automated decision-making, privacy protection and legality, responsibility, and monitoring and evaluation."
Inheritance tax risk model (RME),2,"The goal is specific and contextualized, explaining that the algorithm is used to assist tax administration staff in assessing inheritance tax returns by identifying which parts of a return require attention.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type. It explains that the algorithm uses predefined rules to assess the situation of the deceased person and heir, and that it is not self-learning.",2,"The risks section explicitly describes the measures taken to manage the risks of using the algorithm, including transparency, automated decision-making, privacy protection and legality, responsibility, and monitoring and evaluation."
GGD Avatars,2,"The goal is specific and contextualized, aiming to improve information transfer to non-native and low-literate people by converting text into videos in multiple languages using AI.",1,"The process is partially explained, mentioning the use of AI for translation and avatars for speech, but lacks a full description of the model type and how the data is processed.",0,"No limitations or risks are mentioned, only stating that there is no risk because they do not work with user data."
Supervision declaration of private use of car (VPGA),2,"The goal is specific and contextualized, outlining the purpose of the algorithm in monitoring compliance with payroll tax legislation and detecting incorrect omissions in private car use declarations.",1,"The methods and models field mentions the use of selection rules created by content experts, but does not provide a full process description or specify the types of data used.",2,"The risks field explicitly describes potential privacy risks and measures taken to mitigate them, as well as the algorithm's compliance with non-discrimination legislation and data protection principles."
Document anonymisation,2,"The goal is specific and contextualized, aiming to anonymise documents published by the province to prevent data leaks and protect data subjects' rights.",2,"The process is clearly explained, from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, with specific datasets and accuracy figures mentioned.",2,"The risks are explicitly described, including the potential for improper employee checks and privacy risks associated with using Azure, along with measures taken to mitigate these risks."
Text analysis and document varnishing,2,"The goal is specific and contextualized, stating the purpose of supporting the review process where legal protections apply to information disclosed, with clear policy objectives.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, mentioning named entity recognition (NER) and a process within insights for further processing.",2,"The risks field explicitly describes the limitations of the algorithm, stating that it does not make decisions with legal consequences and that a human employee always does the final check for document anonymization."
Road inspection - Kiwa KOAC,2,"The goal is specific and contextualized, aiming to make the maintenance of provincial roads more efficient by better monitoring the status of roads and enabling predictive maintenance.",2,"The logic is clearly explained, detailing the use of lidar or laser technology to scan roads and the algorithm's output of damage images and other road unevenness.",2,"The limitations are explicitly described, mentioning the risk of accuracy due to the size of the data and potential capacity problems, with a mitigation strategy of physical verification by the inspector."
RISM inspection,2,"The goal is specific and contextualized, aiming to make road safety inspections more efficient and increase road safety with fewer obstacles for road users.",2,"The process is clearly explained, from the initial call for inspection, to the creation of three-dimensional models, to the expert evaluation and final report used for intervention.",1,"The entry mentions the limitation of the algorithm not making automatic decisions and the blurring of number plates, but does not explicitly describe the risks or potential biases."
CROW - road management system,2,"The goal is specific and contextualized, stating that the algorithm is used to ensure road quality meets national standards and helps identify road damage and required actions.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the algorithm links recordings of asphalt to road sections, scores unevenness, and provides maintenance recommendations.",2,"The risks section explicitly describes the limitations of the algorithm, mentioning the risk associated with limited data and the potential issue of blindly following the algorithm's advice."
Workflow control employee data,2,"The goal is clearly stated with specific context and policy objective, detailing the use of algorithms to monitor the correct and complete declaration and remittance of payroll taxes and the accuracy of employee data.",1,"The methods and models field mentions that the algorithms consist of selection rules created by content experts based on laws, regulations, and expertise, but it does not provide a full process description or specify the type of model used.",2,"The risks field explicitly describes the limitations and risks associated with the use of data, including privacy risks, data minimisation, potential for discrimination, and the need for transparency and lawfulness in government actions."
Chatbot municipal website,2,"The goal is specific and contextualized, stating that the chatbot is part of the municipal website and is designed to provide residents with an additional digital channel to find information and answer questions quickly.",2,"The logic is clearly explained, detailing the process of how the chatbot works, from the input of sources by the application manager, to the use of OpenAI's language model, to the determination of the response tone, and finally to the destruction of the information after 30 days.",2,"The limitations are explicitly described, including the risk of residents entering personal data, the reliance on public information, the potential for the bot to give the wrong answer, and the inclusion of a disclaimer on the website."
Chatbot municipal website,2,"The goal is specific and contextualized, stating that the chatbot is part of the municipal website and is designed to provide residents with an additional digital channel for finding information and answering questions.",2,"The logic is clearly explained, detailing the process of how the application manager inputs sources into the bot platform, how OpenAI's language model uses these sources to provide a response, and how the tone of the response is determined.",2,"The limitations are explicitly described, mentioning the risk of residents entering personal data, the reliance on public information, the potential for the bot to give the wrong answer, and the inclusion of a disclaimer on the website."
HAVANK,2,"The goal is clearly stated with specific context and policy objective: automated comparison of fingerprints and handprints for establishing a person's identity in police processes, contributing to efficient and effective policing, and increasing the chance of being caught and thus safety.",2,"The system's process is clearly explained: it converts an image of a fingerprint into an 'arithmetic key' using an algorithm, stores this key under a unique registration in a database, and uses this key to compare with all the arithmetic keys in the database when a new fingerprint is presented, producing a hit-no-hit result based on a score.",2,"The entry explicitly describes known risks and measures to mitigate them: only trained and authorised experts have access to the algorithm and fingerprints, measures are in place to avoid bias, automatic results are only generated above a reliable score threshold, and the results are always assessed by at least three certified experts from the police according to a standardised work process."
Digital applications for civil affairs,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to assist residents and business owners with digital applications or returns, with clear policy objectives.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the algorithm checks applications against laws and regulations and how it interacts with municipal employees.",0,No risks or limitations are mentioned in the entry.
Legal Aid Board Random Sampler,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to reduce administrative burdens for lawyers and mediators by automatically granting additions and declarations, and conducting random checks to ensure proper application of rules under the legal aid act.",2,"The logic is clearly explained, detailing the use of a VBA script in Excel for random sampling, the consideration of fee amounts in selection, and the process for ensuring a minimum number of cases for each lawyer/mediator.",1,"The risks are mentioned, noting that changes to the protocol require management approval and consultation with relevant associations, but the nature or context of these risks is not explicitly described."
Einstein Chatbot,2,"The goal is specific and contextualized, aiming to improve contact with Amsterdammers through a low-threshold automated communication channel, with clear actions triggered by the algorithm.",1,"The system uses natural language processing to recognize the intent of the question, but the full process and model type are not clearly explained.",2,"The risks are explicitly described, including potential bias, discriminatory outcomes, and issues with personal data. Measures to mitigate these risks, such as pre-formulated answers and privacy warnings, are also mentioned."
MONOcam,2,The goal is specific and contextualized with a clear policy objective: to increase road safety by checking if drivers are using mobile electronic devices.,2,"The system's operation is clearly explained, including the inputs (video images), process (searching for number plates, determining vehicle origin, searching windscreen, identifying hands and mobile devices), and model type (algorithm).",1,"The entry mentions risks and potential solutions, but does not specify the nature or context of these risks."
Chatbot Wout,2,"The goal is specific and contextualized, stating that the aim of Chatbot Wout is to make police services more accessible, user-friendly, and less labour-intensive.",2,"The logic is clearly explained, detailing how user input is recognized and matched to identify needs, and how this leads to various outcomes.",1,"The risks section mentions monitoring and improving call quality, but does not explicitly describe known risks or limitations."
Tiresias,2,"The goal is specific and contextualized, aiming to protect the privacy of citizens by making vehicle occupants unrecognizable.",2,"The system's logic is clearly explained, detailing the use of a machine learning model, a neural network, and a UNet model for semantic segmentation. The process of training the model and the adjustments made to the image are also described.",1,"A limitation is mentioned, that the entire windscreen is blinded instead of just the people behind it, but it does not specify the nature or context of this limitation."
Starting foreign companies for payroll taxes,2,"The goal is specific and contextualized, detailing the purpose of the algorithm in monitoring compliance with payroll tax returns, particularly for foreign companies starting up in the Netherlands.",1,"The methods and models field mentions the use of selection rules created by content experts based on laws, regulations, and expertise, but it does not provide a full process description or specify the type of data inputs used.",2,"The risks field explicitly describes the measures taken to mitigate risks such as discrimination and data protection, and mentions the periodic review of selection rules to ensure compliance with laws and regulations."
Spheer.ai,2,"The goal is specific and contextualized, with a clear objective of using the system for nature monitoring and identifying differences in vegetation in nature reserves and rural areas.",1,"The system mentions the use of satellite photographs for recognition and identification of differences in vegetation, but does not provide a full process description.",1,"The entry mentions that physical checks are used to verify the accuracy of the monitor results, implying a limitation, but does not specify the nature or context of this risk."
Search application cold cases,2,"The goal is specific and contextualized, stating that the algorithm helps detectives find information in a cold case file by searching for the meaning of words.",2,"The methods and models section provides a clear explanation of inputs, process, and model type, detailing how a user's text query is converted into a vector and compared to vectors of sentences or paragraphs from the case file.",1,"While the risks section mentions that measures were taken based on risks and recommendations, it does not explicitly describe the nature or context of these risks."
Power BI,1,"The goal is general, stating that Power BI is used to create visualizations from various data sources to gain and convey insights, but lacks a specific context or policy objective.",1,"The logic mentions the use of different data sources to create visualizations, but lacks a full process description or specific model type.",1,"The limitations mention the processing of personal data and the need for a DPIA, but do not specify the nature or context of the risk."
Secure e-mailing,2,"The goal is clearly stated with a specific context and policy objective: to ensure the proper security of information sent by email by Gemeente Veenendaal, alerting senders to possible sensitive information and encouraging secure transmission.",2,"The logic is clearly explained, detailing the inputs (terms used in the message and attachments), the process (comparing the terms with previous emails and flagging potentially sensitive ones), and the model type (classification based on terminology).",1,"The risks are mentioned, specifically the possibility of incorrect classifications, but the nature or context of these risks is not explicitly described."
Interact City - Signify,2,"The goal is specific and contextualized, stating that the algorithm is used to manage luminaires remotely and facilitate their management.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the system monitors energy consumption of luminaires and issues error messages when there are deviations.",1,"The risks section mentions that there is no risk of automated decision-making or infringement of fundamental rights, but it does not specify any limitations or potential biases of the algorithm."
Pol.is,2,"The goal is specific and contextualized, aiming to understand the wishes of Groningers and involve them in decision-making.",2,"The process is clearly explained, from presenting a series of statements to a group, their voting, and then using Pol.is to display differences and similarities in opinions for insights.",1,The entry mentions that risks are monitored but does not specify any particular risks or limitations.
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the impact on municipal efficiency and service quality.",2,"The logic is clearly explained, detailing the process of how a resident or entrepreneur can start an e-service, how applications are checked against laws and regulations, and how they are processed by a civil affairs employee or automatically by the system.",1,"A limitation is vaguely mentioned, stating that it is up to municipalities to shape risk management and configure e-services, but does not specify the nature or context of the risks."
CiVision Society,2,"The goal is specific and contextualized, aiming to calculate income provisions and subsidies in an automated way based on business logic and applicable laws.",2,"The system's logic is clearly explained, detailing the inputs (resident's age, marital status, children, co-residents, income, etc.), process (calculation based on fixed logic and standards), and model type (business logic).",1,"The risks are mentioned, focusing on the testing and checks of the business logic modifications, but the nature or context of these risks is not explicitly described."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of a staff member for final checks.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Octobox Anonymisation,2,"The goal is specific and contextualized, outlining the purpose of the tool to ensure transparency and protection of individuals, companies, and institutions, while complying with regulations and reducing turnaround time.",2,"The logic is clearly explained, detailing the process of how the software searches through documents, recognizes traceable data, and allows for human verification and adjustment.",2,"The limitations are explicitly described, outlining the risks of insufficient anonymisation, potential violations of privacy laws, identity theft, reputational damage, loss of trust, personal damage, and exploitation, and how human monitoring mitigates these risks."
Document scanners civil affairs,2,"The goal is specific and contextualized, with a clear policy objective of checking the authenticity of identification documents using an algorithm and a secondary check with the BRP data.",2,"The logic is clearly explained, detailing the inputs (features on an identity document), process (scanning for these features and secondary check if needed), and model type (algorithm trained to recognize authenticity features).",0,"No limitations or risks are mentioned beyond the fact that a DPIA was carried out, which does not specify any nature or context of risks or limitations."
Boating traffic model,2,"The goal is specific and contextualized, with a clear policy objective of mapping changes in boating traffic and predicting capacity per stretch based on various indicators and user group data.",1,"The entry mentions several elements such as the use of current and historical hourly passages, indicators of congestion, and user group data, but it does not provide a full process description or specify the model type.",0,No limitations or risks are mentioned in the entry.
Matching offender to forensic care location - IFZO (algorithm),2,"The goal is specific and contextualized, explaining the purpose of the algorithm to suggest the right place with a care provider in an efficient, transparent, and uniform manner for the placement of litigants.",2,"The logic is clearly explained, detailing the use of decision trees, the input data (criteria entered by litigants), the process (comparing these criteria with those of care providers), and the model type (non-self-learning algorithm).",2,"The limitations are explicitly described, including the risk of sensitive data exposure, the possibility of employees working around the algorithm, the potential for incorrect data entry leading to wrong placement decisions, and the requirement for the system to comply with the baseline information security government."
Leasehold transfer portal,2,"The goal is specific and contextualized, detailing the process of applying for a transfer to perpetual ground rent and the subsequent steps involved.",2,"The logic is clearly explained, detailing the calculation of the canon amount for the perpetual ground rent and the potential inaccuracies in property details or addresses.",2,"The limitations are explicitly described, including the use of public data, the potential for incorrect data, and the security risk associated with using digid data."
Sound sensors: Smart sound meter,2,"The goal is specific and contextualized, aiming to identify incidents in public spaces earlier using sound sensors and algorithm, with a clear policy objective of working smarter and more efficiently.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, with no limitations or risks mentioned."
Advisory tool Grippy,2,"The goal is specific and contextualized, aiming to achieve faster decision-making, cost reduction, and greater uniformity in assessing the viability of a company.",1,"The system uses a rule-based model (decision trees), but a full process description including inputs is not provided.",2,"The limitations are explicitly described, mentioning that the boundary conditions are not dynamic and do not adjust in response to entered data, and that the risks in using the tool are rated as low."
Amsterdam Approach to Early Signalling,2,"The goal is specific and contextualized, aiming to identify and help people at risk of poverty in Amsterdam before they fall into serious debt or face eviction, using notifications from various sources.",2,"The system's logic is clearly explained, detailing the inputs (notifications from various sources), the process (automatic data supplementation, forwarding to a counselor, and subsequent steps), and the model type (a registration and information system).",2,"The entry explicitly describes the risks and limitations, including data security, the right of citizens to opt out, and the separation of systems for debt arrears reports and the data warehouse."
Public space reports,2,"The goal is specific and contextualized, detailing the use of the fixi app for reporting issues in public spaces to the municipality of Beekdaelen, and how these reports are categorized and handled.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",1,"The 'Risks' field mentions that there are few risks and that personal data is stored securely, but it does not specify the nature or context of these risks."
Druktebeeld,2,"The goal is specific and contextualized, aiming to manage crowding in public spaces in Amsterdam by providing real-time information to the public and the municipality.",2,"The methods and models are clearly explained, detailing the inputs, process, and model types used to calculate crowding indicators from different data sources.",2,"The risks section explicitly describes known risks, such as decisions being made on incorrect crowd indications, privacy concerns, unintended use of information, and potential data anonymization issues."
Microsoft CoPilot,1,"The goal is general, stating that the system supports employees in their daily work, but lacks a specific context or policy objective.",0,"The methods and models field does not provide an explanation of how the system works, instead it refers to an external source for information.",1,"The risks field mentions that data remains within the organisation and is reviewed by an employee, but does not specify the nature or context of these limitations."
PowerBI dashboards,1,"The goal of 'improving operations' is stated, but it lacks specific context or policy objective.",2,"The process of accessing data from source applications to the data warehouse, where it is modelled and prepared for reporting, is clearly explained.",1,"The entry mentions periodic checks for data accuracy, but does not specify the nature or context of potential risks or limitations."
BghU Charges list,2,"The goal is specific and contextualized, stating that the list is used to send a batch of fees to the bghu for invoicing, with examples of when residents receive invoices.",2,"The process is clearly explained, stating that a printout is made from PowerBI, which is sourced from the Centric environment, and then sent to the bghu.",1,"A risk is mentioned, that residents may receive an unjustified invoice, but it is not explicitly described or contextualized."
Customisation scan,2,"The goal is specific and contextualized, aiming to identify individuals at risk of needing welfare after the WW and providing them with support to reduce this risk.",1,"The method is partially explained, mentioning a scoring system and the use of changing data, but it lacks a full process description and does not specify the model type.",1,"The risks section mentions compliance with information security and privacy requirements, and the fairness of the algorithm, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the datasets used for training.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Signals,2,"The goal is specific and contextualized, aiming to improve the efficiency of municipal services by categorizing reports and directing them to the appropriate department.",2,"The logic is clearly explained, detailing the use of term frequency-inverse document frequency (tf-idf) and regression to analyze and categorize reports.",1,"The limitations are mentioned, noting that if the algorithm cannot categorize a report with sufficient certainty, it will be placed in the 'other' category and manually reviewed, but the specific risks or biases are not detailed."
DeepL Pro,1,The goal is stated as 'deepl is used to translate various pieces' which is a general purpose without specific context or policy objective.,0,"The 'methods_and_models' field is blank, providing no explanation of how the system works.",2,"The risks are explicitly described, mentioning that the input is not used to train the algorithm and that all texts or documents are deleted after translation, providing a clear context of the system's limitations."
Customer application WW,2,"The goal is specific and contextualized, stating that the system is used to facilitate the application and assessment process for unemployment benefits.",2,"The system's logic is clearly explained, detailing the types of data used (age, income, employment history, benefit data), their sources, and the process of using this data to pay benefits and support job search.",2,"The risks and limitations are explicitly described, including the potential for incorrect assessments, the process for addressing such risks, and the algorithm's adherence to legal rules."
Digital questionnaire sick call,2,"The goal is specific and contextualized, stating that the algorithm is used to assess entitlement to sickness benefit based on the responses to a digital questionnaire.",2,"The logic is clearly explained, detailing how the algorithm processes entered data to present relevant questions, and how the responses are used to determine entitlement to sickness benefit and necessary follow-up steps.",2,"The limitations are explicitly described, detailing the measures taken to ensure compliance with information security and privacy requirements, and the steps taken to ensure that the algorithm treats all applicants equally."
Microsoft CoPilot,1,"The goal is stated in a general manner, mentioning support for employees in their daily work but without a specific policy objective.",0,"The methods and models field does not provide a clear explanation of how the system works, instead it refers to an external source for information.",1,"The risks are mentioned, stating that data remains within the organisation and is reviewed by an employee, but it does not specify any potential limitations or biases."
Address Registration Algorithm,2,"The goal is specific and contextualized, outlining the importance of correct address registration and how the algorithm checks details of the citizen to ensure accuracy.",1,"The method is mentioned as decision trees, but the full process and inputs are not clearly explained.",1,"The risk management is mentioned, but it does not specify the nature or context of potential risks or limitations."
Zivver,2,"The goal is specific and contextualized, aiming to ensure that information sent by email is properly secured by alerting senders to sensitive information and encouraging secure sending.",2,"The logic is clearly explained, detailing how the algorithm uses terms in the message and attachments to determine similarity to previously sent emails and flag potentially sensitive emails.",1,"The limitations are vaguely mentioned, stating that the algorithm's performance is monitored and adjustments are made if incorrect classifications occur, but it does not specify the nature or context of these potential inaccuracies."
SmartLockr secure mail,2,"The goal is specific and contextualized, aiming to ensure that emails are properly secured by alerting senders to sensitive information and encouraging secure sending methods.",2,"The logic is clearly explained, detailing how the algorithm uses terms in the email and attachments to determine similarity to previously sent emails, and then flags potentially sensitive emails based on this comparison.",1,"The risks are mentioned, noting that the algorithm's performance is monitored and adjustments can be made if incorrect classifications occur, but it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Pilot image recognition advertisements provided façade image,2,"The goal is specific and contextualized, stating that the purpose of the pilot is to explore the potential of image recognition as a tool for checking built advertisements for compliance with permit requirements.",2,"The system's operation is clearly explained, stating that it uses a self-learning artificial intelligence system for image recognition, which recognises advertisements from streetsmart images with convolutional neural networks and links them to the licences based on address or bag-id.",2,"The risks are explicitly described, stating that the system does not record personal data and only takes pictures of displays in public spaces, and that the biggest risk is that the location of the advertisement becomes known, which could possibly make it possible to trace the address of a person or company."
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent process of checking and approval.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how applications are checked against laws and regulations, and how they are processed by a civil affairs employee or automatically by the system.",1,The risks section mentions risk management but does not specify the nature or context of the risks or limitations.
Dashboard BiBob files,2,"The goal is specific and contextualized, outlining the purpose of the BiBob act, the use of the BiBob dashboard, and the types of insights it provides for management at various levels.",1,"The methods and models section mentions the data source and how it is displayed in a dashboard, but it does not provide a full process description or specify the model type.",1,"The risks section mentions data usage restrictions and human considerations, but it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
ICECREAM,2,"The goal is specific and contextualized, with a clear policy objective of reducing sexual risk behaviour and the risk of contracting hepatitis c virus reinfection in men who have sex with men who have had hcv infection.",2,"The methods and models section provides a clear explanation of inputs, process, and model type, detailing the use of questionnaires, the randomization of participants into intervention groups, and the different interventions.",2,"The risks section explicitly describes known risks, specifically in terms of information security and privacy, and provides a detailed analysis of the availability, integrity, and confidentiality aspects."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the role of human oversight.",2,"The limitations are explicitly described, including the risk of improper employee checks and privacy risks associated with using Azure, along with measures taken to mitigate these risks."
Anonymisation tool,2,"The goal is specific and contextualized, aiming to support employees in anonymising documents to comply with privacy legislation and maintain transparency.",2,"The system's operation is clearly explained, including the use of set rules, templates, pattern recognition, and natural language processing to identify and suggest anonymization of sensitive data.",1,"A risk is mentioned, but it is vaguely described without specifying its nature or context - the reliance on an employee to assess the result."
Anonymisation tool,2,"The goal is specific and contextualized, stating that the tool is used to support employees in anonymising documents to comply with privacy legislation and maintain transparency.",2,"The logic is clearly explained, detailing the use of smart features, pattern recognition, and natural language processing to identify and suggest anonymisation of sensitive data.",1,"A risk is mentioned, but it is vague and lacks specific context, stating only that an employee assesses the result, implying human oversight."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the province of Zeeland to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload, through machine learning analysis, to final employee check, including the use of Microsoft Azure's named entity recognition and proprietary AI models.",1,"The risks are mentioned, stating that there is no risk of automated decision-making and that the algorithm does not impact fundamental rights, but it does not specify any potential limitations or biases in the data or algorithm."
Unnamed Algorithm,2,"The goal is specific and contextualized, stating that the algorithm is used to verify the identity of persons registering in the brp, prevent 'look-alike fraud', and support the brp employee in making identity determination decisions.",2,"The system's operation is clearly explained, including the use of neural networks and face recognition APIs, the technical components involved, and the step-by-step process of how the algorithm works.",2,"The risks and limitations are explicitly described, including the potential for data leakage or manipulation, the need for regular system performance evaluations, strict access controls, and employee training to recognize potential errors or limitations."
Anonymisation Tool,2,"The goal is clearly stated with specific context and policy objectives, including transparency, protection of privacy, compliance with regulations, and efficiency in processing requests.",0,No explanation of how the system works or the process it uses is provided.,2,"The risks and limitations are explicitly described, including potential privacy violations, identity theft, reputational damage, loss of trust, personal damage, and potential for exploitation and abuse."
Polling station manager,2,"The goal is specific and contextualized, outlining a clear policy objective of ensuring the quality of elections by offering customized services to volunteers based on their experience and training.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, with no limitations or risks mentioned."
e-services for Midden-Groningen Municipality,2,"The goal is specific and contextualized, aiming to provide maximum support to residents and entrepreneurs of Midden-Groningen municipality when submitting a digital application, improving efficiency and quality of service.",2,"The logic is clearly explained, detailing the process of how a resident or entrepreneur can start an e-service, how the application is checked against laws and regulations, and how it can be processed automatically under certain conditions.",1,"The risks are vaguely mentioned, stating that the municipality secures risk management by formulating and maintaining processes for privacy and information security, but it does not specify any particular risks or limitations."
Readspeaker,2,"The goal is specific and contextualized, aiming to support users with visual impairment and reading difficulties in the Netherlands by providing a reading aid on the municipality of Bladel's website.",1,"The method is mentioned as a deep neural network (DNN) technology used in the pre-reading software, but the full process and inputs are not described.",0,No risks or limitations are mentioned.
AERIUS - Computing tool for the living environment,2,"The goal is specific and contextualized, explaining how different modules of the AERIUS tool are used to monitor and manage nitrogen deposition in protected nature areas.",2,"The logic is clearly explained, detailing the use of two specific models (OPS-long term and SRM2) for calculating concentrations in air and nitrogen deposition, and for the dispersion of short-range traffic emissions.",1,"The entry mentions risk management and quality management plans, but does not specify the nature or context of these risks or limitations."
File Control Module (BCM) Basic Registration of Persons (BRP),2,"The goal is specific and contextualized, outlining the purpose of the algorithm to check data compliance with legal and structural requirements, identify discrepancies, and report them to municipalities for action.",2,"The logic is clearly explained, detailing the process of over 3,000 checks using an Excel sheet, the assessment of output by an employee, and the process of updating checks based on changes in laws, regulations, or reported discrepancies.",0,No limitations or risks are mentioned in the provided text.
Automated facial comparison in the RNI registration process.,2,"The goal is specific and contextualized, stating that the algorithm is developed to compare the face of the person with the image in his identity document and support the RNI employee in determining the identity of the person.",2,"The methods and models field provides a clear explanation of the process and the model type, mentioning the use of a neural network, advanced face recognition APIs, and tools for biometric evaluations.",2,"The risks field explicitly describes the potential negative consequences for the rights and freedoms of data subjects due to the processing of personal data, and also mentions the context in which the risk of leakage or manipulation of the facial image is small."
Determining WOZ value,2,"The goal is specific and contextualized, stating that the model is used for the annual determination of the WOZ value of most buildings.",2,"The logic is clearly explained, stating that the model is rule-based and uses information from realized sales prices and valuations of comparable buildings.",1,"The risks are mentioned, stating that outcomes are checked statistically and randomly, but it does not specify any limitations or potential biases."
Intelligence Agency for Social Assistance Benefits,2,"The goal is specific and contextualized, outlining the statutory duty of municipalities to provide and verify social assistance benefits, and how the intelligence agency aids in this process.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the intelligence agency uses data from various national sources to check for changes in beneficiaries' circumstances.",1,"The risks section mentions the concern for citizen privacy and the use of a privacy impact assessment, but does not specify the nature or context of these risks."
CiVision Society,2,"The goal is specific and contextualized, stating that the algorithm is used for automated calculation of income benefits and municipal income support based on business logic and applicable laws and regulations.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how variables such as the resident's age, marital status, children, co-residents, income, and reductions are used in the calculation of income provisions and subsidies.",1,"The risks section mentions that modifications to business logic are tested and that the application enforces checks, but it does not specify any limitations or potential risks associated with the algorithm."
Dariuz wage value,2,"The goal is specific and contextualized, aiming to facilitate employment for people with disabilities and detailing the subsidy process.",2,"The methods and models section provides a detailed explanation of the process, inputs, and model type, including the role of various stakeholders and the use of the Dariuz program.",1,"The risks section mentions a limitation related to the questionnaire completion, but it does not specify the nature or context of this limitation."
